Q,Lchars,BER_mean,BER_std,Exact_per
85,8,0.153125,0.22648272344619982,0.6829268292682927
85,16,0.3154344512195122,0.22383366426529547,0.33170731707317075
95,8,0.06875,0.17029127745989095,0.8585365853658536
95,16,0.1428734756097561,0.21795116547761534,0.697560975609756
100,8,0.03971036585365854,0.13315401575250166,0.9170731707317074
100,16,0.05388719512195122,0.15234752931430337,0.8878048780487805
